timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137044.024915218,1785503059.268706083,55,4822,4925,432,0,72000,2224,1515,0.000000000,2.317879000,2.828709001,0.751166001,0.000504000,0.751670001,4.659005001,0,16
1658137044.124754429,1785503059.392022371,56,4925,5060,301,0,72000,1697,1239,0.000000000,1.984544999,2.421690000,0.395998000,0.000427000,0.396425001,3.636296000,0,18
1658137044.224855900,1785503059.466814041,57,5060,5178,247,0,72000,1629,1092,0.000000000,1.890681002,2.262954000,0.376870001,0.000520000,0.377390001,3.468887000,0,17
1658137044.324722767,1785503059.592781305,58,5178,5255,350,0,72000,2100,1349,0.000000000,2.255338002,2.738477999,0.579775000,0.000451999,0.580226999,4.376778999,0,13
1658137044.424809933,1785503059.692565441,59,5255,5415,318,0,72000,1982,1409,0.000000000,2.081332001,2.568237000,0.446214000,0.000490001,0.446704002,4.005158000,0,14
1658137044.524908304,1785503059.766488791,60,5415,5516,189,0,72000,1408,1033,0.000000000,1.665395001,2.094813999,0.256381001,0.000444001,0.256825002,3.108225999,0,26
1658137044.624745369,1785503059.867622137,61,5516,5628,255,0,72000,2140,1531,0.000000000,2.274894001,2.773486000,0.337309000,0.000476000,0.337785001,4.253429999,0,15
1658137044.724828005,1785503059.990444660,62,5628,5670,134,0,72000,907,616,0.000000000,1.048168000,1.293814001,0.184345001,0.000593000,0.184938001,2.033347999,0,10
1658137044.824914217,1785503060.067807674,63,5670,5687,248,0,72000,2096,1432,0.000000000,2.474395000,2.980981999,0.427564000,0.000671000,0.428235000,4.432115998,0,18
1658137044.924751520,1785503060.166630983,64,5687,5756,205,0,72000,1624,1134,0.000000000,1.757597000,2.154759999,0.310338999,0.000569000,0.310907999,3.251635000,0,14
1658137045.024842262,1785503060.267753124,65,5756,5816,210,0,72000,2163,1456,0.000000000,2.338770999,2.894228999,0.347165000,0.000415001,0.347580000,4.372919000,0,18
