checkpoint_timestamp,voxel_x,voxel_y,voxel_z,first_seen_time,last_seen_time,total_point_hits,observed_frames,active_time_bins,sum_x,sum_y,sum_z
1658137044.824914217,-1,-16,1,1658137042.824854851,1658137044.824914217,41,9,1,-21.350639015,-632.510329247,61.350813627
1658137044.824914217,-1,-15,2,1658137042.824854851,1658137044.824914217,38,11,1,-11.955749154,-551.380078316,95.949101686
1658137044.824914217,-1,-16,0,1658137042.824854851,1658137044.824914217,48,11,1,-23.528360307,-749.185759544,26.968100868
1658137044.824914217,-1,-2,13,1658137042.824854851,1658137044.824914217,53,15,1,-8.957244456,-82.069171309,714.590423584
1658137044.824914217,0,8,-8,1658137042.824854851,1658137044.624745369,39,10,1,22.029583931,331.039537430,-291.520040989
1658137044.824914217,-1,-16,-1,1658137042.824854851,1658137044.824914217,43,10,1,-12.108138010,-667.834875107,-22.112643302
1658137044.824914217,0,8,-9,1658137042.824854851,1658137044.624745369,44,11,1,26.806199551,372.718249321,-372.133151054
1658137044.824914217,-1,-14,2,1658137042.824854851,1658137044.824914217,37,10,1,-11.141249299,-499.975835800,93.162739515
1658137044.824914217,0,5,-12,1658137042.824854851,1658137044.624745369,32,9,1,18.816725194,176.037755966,-371.064679146
1658137044.824914217,0,-15,-7,1658137042.824854851,1658137044.724828005,28,12,1,0.767363335,-403.822102547,-184.917419434
1658137044.824914217,0,4,-14,1658137042.824854851,1658137044.624745369,31,9,1,18.492964745,138.171179295,-415.830642700
1658137044.824914217,0,-15,-8,1658137042.824854851,1658137044.724828005,44,14,1,2.070131577,-633.028045654,-329.627515316
1658137044.824914217,0,3,-14,1658137042.824854851,1658137044.824914217,34,10,1,19.554557741,118.291588545,-459.356914520
1658137044.824914217,-1,3,11,1658137042.824854851,1658137044.824914217,57,18,1,-9.980281577,198.598047733,662.892930984
1658137044.824914217,-1,-15,-9,1658137042.824854851,1658137044.724828005,22,12,1,-3.006801157,-317.392622948,-181.938934326
1658137044.824914217,0,-15,-9,1658137042.824854851,1658137044.724828005,39,12,1,2.176331036,-564.753606796,-330.904609680
1658137044.824914217,0,-15,-10,1658137042.824854851,1658137044.824914217,27,11,1,2.083357068,-387.475706100,-256.801406860
1658137044.824914217,0,-9,-12,1658137042.824854851,1658137044.824914217,56,20,1,27.167077273,-482.422947884,-645.680419922
1658137044.824914217,0,-12,-11,1658137042.824854851,1658137044.824914217,43,11,1,12.811937809,-495.874311447,-451.200257301
1658137044.824914217,0,-14,-11,1658137042.824854851,1658137044.824914217,35,11,1,7.527072698,-471.898680687,-366.363892555
1658137044.824914217,-2,-5,-14,1658137042.824854851,1658137044.824914217,17,14,1,-27.928094983,-82.806655884,-228.627820969
1658137044.824914217,-3,-5,-14,1658137042.824854851,1658137044.824914217,60,19,1,-155.752827644,-270.420896530,-808.149552345
1658137044.824914217,0,-10,-12,1658137042.824854851,1658137044.824914217,42,12,1,19.607562721,-399.295058250,-483.488925934
1658137044.824914217,0,-13,-11,1658137042.824854851,1658137044.824914217,44,11,1,10.709410951,-551.389774323,-460.774247169
1658137044.824914217,0,-11,-12,1658137042.824854851,1658137044.824914217,44,11,1,18.570360363,-460.802323341,-505.557330132
1658137044.824914217,0,-10,-13,1658137042.824854851,1658137044.824914217,53,19,1,27.968654394,-498.935268402,-662.524870872
1658137044.824914217,0,-11,-13,1658137042.824854851,1658137044.824914217,30,10,1,13.889015615,-312.875760078,-374.078482628
1658137044.824914217,0,-10,-14,1658137042.824854851,1658137044.824914217,34,19,1,17.450059384,-324.588038445,-460.967054367
1658137044.824914217,-1,3,13,1658137042.924814939,1658137044.724828005,22,11,1,-1.927189818,80.072589874,299.369734764
1658137044.824914217,-1,2,13,1658137042.924814939,1658137044.624745369,33,9,1,-2.037334724,81.209968090,444.838624954
1658137044.824914217,-1,3,12,1658137042.924814939,1658137044.824914217,39,17,1,-13.108742926,137.031346083,486.572373390
1658137044.824914217,-1,6,9,1658137042.924814939,1658137044.724828005,4,4,1,-0.017957349,24.264653683,38.782746315
1658137044.824914217,-1,4,12,1658137042.924814939,1658137044.824914217,26,11,1,-1.134774521,115.215015411,322.622972488
1658137044.824914217,-1,4,11,1658137042.924814939,1658137044.824914217,51,13,1,-2.610426835,226.838205338,588.111672401
1658137044.824914217,-3,-7,-6,1658137042.924814939,1658137042.924814939,1,1,1,-2.834938526,-6.987589359,-5.388978481
1658137044.824914217,0,7,-11,1658137042.924814939,1658137044.624745369,39,9,1,23.632582963,292.429628849,-409.554151535
1658137044.824914217,-1,-17,-5,1658137042.924814939,1658137044.724828005,55,12,1,-19.027982704,-913.611673355,-246.073609829
1658137044.824914217,0,6,-12,1658137042.924814939,1658137044.624745369,37,8,1,22.431968391,240.486056805,-425.842527390
1658137044.824914217,-1,-16,-6,1658137042.924814939,1658137044.724828005,49,14,1,-4.486631803,-755.613164902,-270.192073345
1658137044.824914217,0,5,-13,1658137042.924814939,1658137044.624745369,26,8,1,15.927811980,142.933408737,-323.720674515
1658137044.824914217,0,6,-13,1658137042.924814939,1658137044.624745369,26,8,1,16.405263066,168.562921524,-325.053720474
1658137044.824914217,-1,-17,-4,1658137042.924814939,1658137044.624745369,58,11,1,-26.388551369,-957.556081772,-207.076889515
1658137044.824914217,-1,-4,-13,1658137042.924814939,1658137044.424809933,6,5,1,-4.145218447,-20.270311117,-74.933256149
1658137044.824914217,-3,-3,-14,1658137042.924814939,1658137044.824914217,35,18,1,-93.315194607,-84.071656227,-470.430539131
1658137044.824914217,-2,-3,-14,1658137042.924814939,1658137044.824914217,36,19,1,-64.917233229,-91.518068075,-486.586156845
1658137044.824914217,-3,-4,-14,1658137042.924814939,1658137044.824914217,58,20,1,-144.116920471,-196.879448891,-768.254798889
