voxel_x,voxel_y,voxel_z,center_x,center_y,center_z,mean_x,mean_y,mean_z,first_seen_time,last_seen_time,lifespan_sec,total_point_hits,observed_frames,active_time_bins
-1,-1,10,-0.500000000,-0.500000000,10.500000000,-0.131945762,-0.476673397,10.523979639,1658137041.824869633,1658137044.724828005,2.899958372,57,15,1
-1,1,10,-0.500000000,1.500000000,10.500000000,-0.121522854,1.529144902,10.528102636,1658137041.824869633,1658137044.824914217,3.000044584,56,15,1
-1,0,11,-0.500000000,0.500000000,11.500000000,-0.161218017,0.470224553,11.508560750,1658137041.824869633,1658137044.824914217,3.000044584,57,17,1
0,-13,-7,0.500000000,-12.500000000,-6.500000000,0.080628060,-12.459676113,-6.432982247,1658137041.724767923,1658137044.824914217,3.100146294,53,17,1
-3,-10,-4,-2.500000000,-9.500000000,-3.500000000,-2.890250921,-9.134898980,-3.940466444,1658137041.724767923,1658137044.724828005,3.000060081,6,5,1
-1,-11,-3,-0.500000000,-10.500000000,-2.500000000,-0.108529650,-10.779886246,-2.965192080,1658137041.724767923,1658137042.224861860,0.500093937,3,3,1
0,-13,-2,0.500000000,-12.500000000,-1.500000000,0.019950425,-12.007399559,-1.974469304,1658137041.724767923,1658137041.724767923,0.000000000,1,1,1
1,3,-3,1.500000000,3.500000000,-2.500000000,1.357697845,3.175010204,-2.782437325,1658137041.724767923,1658137041.724767923,0.000000000,1,1,1
0,-5,-12,0.500000000,-4.500000000,-11.500000000,0.420019712,-4.455313336,-11.614182212,1658137041.624929428,1658137044.824914217,3.199984789,44,18,1
0,-6,-11,0.500000000,-5.500000000,-10.500000000,0.409940811,-5.567665565,-10.495302665,1658137041.624929428,1658137044.824914217,3.199984789,39,11,1
0,-12,-8,0.500000000,-11.500000000,-7.500000000,0.188135319,-11.474902911,-7.523912201,1658137041.624929428,1658137044.724828005,3.099898577,73,25,1
0,6,4,0.500000000,6.500000000,4.500000000,0.170573455,6.473428024,4.511418221,1658137041.624929428,1658137044.824914217,3.199984789,55,16,1
-1,-7,9,-0.500000000,-6.500000000,9.500000000,-0.220391228,-6.504766138,9.568395376,1658137041.624929428,1658137044.824914217,3.199984789,76,20,1
0,4,5,0.500000000,4.500000000,5.500000000,0.093031571,4.542576197,5.288632913,1658137041.624929428,1658137044.824914217,3.199984789,33,13,1
0,1,-11,0.500000000,1.500000000,-10.500000000,0.457406445,1.503341850,-10.467605331,1658137041.624929428,1658137044.624745369,2.999815941,66,16,1
0,2,-11,0.500000000,2.500000000,-10.500000000,0.463052348,2.511609574,-10.471395025,1658137041.624929428,1658137044.824914217,3.199984789,49,13,1
0,1,-10,0.500000000,1.500000000,-9.500000000,0.470214005,1.510994165,-9.494209489,1658137041.624929428,1658137044.624745369,2.999815941,43,14,1
0,2,-10,0.500000000,2.500000000,-9.500000000,0.464369428,2.453879721,-9.557139222,1658137041.624929428,1658137044.824914217,3.199984789,49,14,1
0,3,-10,0.500000000,3.500000000,-9.500000000,0.484064567,3.483631489,-9.534935672,1658137041.624929428,1658137044.424809933,2.799880505,41,11,1
0,-11,-5,0.500000000,-10.500000000,-4.500000000,0.124341547,-10.720275536,-4.552127419,1658137041.624929428,1658137044.724828005,3.099898577,50,25,1
-1,-13,1,-0.500000000,-12.500000000,1.500000000,-0.226443520,-12.495132013,1.483768823,1658137041.624929428,1658137044.824914217,3.199984789,55,13,1
0,6,5,0.500000000,6.500000000,5.500000000,0.136964110,6.510201123,5.499417820,1658137041.624929428,1658137044.824914217,3.199984789,62,19,1
-1,4,6,-0.500000000,4.500000000,6.500000000,-0.484016955,4.516945052,6.340143140,1658137041.624929428,1658137044.824914217,3.199984789,60,20,1
-2,3,-6,-1.500000000,3.500000000,-5.500000000,-1.156151950,3.075762153,-5.415121078,1658137041.624929428,1658137043.724911451,2.099982023,2,2,1
0,5,4,0.500000000,5.500000000,4.500000000,0.160493352,5.515903579,4.524448624,1658137041.624929428,1658137044.824914217,3.199984789,54,15,1
-1,-4,6,-0.500000000,-3.500000000,6.500000000,-0.004185006,-3.477435589,6.859986623,1658137041.624929428,1658137042.924814939,1.299885511,6,4,1
-1,-8,8,-0.500000000,-7.500000000,8.500000000,-0.228297296,-7.504627414,8.527244746,1658137041.624929428,1658137044.524908304,2.899978876,59,16,1
-2,-6,-3,-1.500000000,-5.500000000,-2.500000000,-1.378795998,-5.841559614,-2.487120628,1658137041.624929428,1658137044.424809933,2.799880505,14,12,1
0,6,-6,0.500000000,6.500000000,-5.500000000,0.423964306,6.494458164,-5.490026346,1658137041.624929428,1658137044.624745369,2.999815941,56,16,1
-1,-13,0,-0.500000000,-12.500000000,0.500000000,-0.214668927,-12.453955916,0.523996697,1658137041.624929428,1658137044.824914217,3.199984789,43,14,1
-2,-6,-2,-1.500000000,-5.500000000,-1.500000000,-1.580620158,-5.884191418,-1.924106216,1658137041.624929428,1658137044.824914217,3.199984789,10,10,1
0,6,-5,0.500000000,6.500000000,-4.500000000,0.377045080,6.438430448,-4.503603196,1658137041.624929428,1658137044.824914217,3.199984789,69,17,1
0,5,5,0.500000000,5.500000000,5.500000000,0.118466755,5.541860073,5.366430096,1658137041.624929428,1658137044.824914217,3.199984789,46,15,1
-1,-8,7,-0.500000000,-7.500000000,7.500000000,-0.185124219,-7.578577251,7.535756073,1658137041.624929428,1658137044.024915218,2.399985790,50,12,1
0,6,3,0.500000000,6.500000000,3.500000000,0.190106508,6.493333428,3.508935612,1658137041.624929428,1658137044.824914217,3.199984789,43,11,1
