timestamp_utc,timestamp_monotonic,elapsed_sec,latest_lidar_stamp,latest_odom_stamp,latest_clock_stamp,sensor_backlog_sec,clock_lag_sec,odom_message_count,lidar_message_count
2026-07-31T06:32:02.210067+00:00,7767.395682178,764.081247,1658137786.2248273,1658137786.5246124,1658137788.1256473,-0.29978513717651367,1.6010348796844482,4945,5015
2026-07-31T06:32:02.814513+00:00,7768.000128324,764.685693,1658137786.82485,1658137787.1247406,1658137788.7506757,-0.29989051818847656,1.6259350776672363,4949,5019
2026-07-31T06:32:03.263142+00:00,7768.448755860,765.134321,1658137787.3247154,1658137787.5244055,1658137789.1757123,-0.1996901035308838,1.6513068675994873,4952,5022
2026-07-31T06:32:03.731772+00:00,7768.917386414,765.602951,1658137787.624735,1658137788.0248337,1658137789.6507227,-0.4000985622406006,1.6258890628814697,4955,5025
2026-07-31T06:32:04.193515+00:00,7769.379127435,766.064692,1658137788.1249325,1658137788.5248246,1658137790.1257598,-0.39989209175109863,1.6009352207183838,4958,5028
2026-07-31T06:32:04.800413+00:00,7769.986027757,766.671593,1658137788.7247353,1658137789.1246393,1658137790.7257767,-0.3999040126800537,1.601137399673462,4962,5032
2026-07-31T06:32:05.258682+00:00,7770.444296426,767.129861,1658137789.12486,1658137789.6241903,1658137791.175888,-0.4993302822113037,1.5516977310180664,4965,5035
2026-07-31T06:32:05.707551+00:00,7770.893166232,767.578731,1658137789.6247573,1658137790.024743,1658137791.6258228,-0.39998579025268555,1.6010797023773193,4968,5038
2026-07-31T06:32:06.311911+00:00,7771.497525854,768.183091,1658137790.3248463,1658137790.6248405,1658137792.2258532,-0.29999423027038574,1.6010127067565918,4972,5042
2026-07-31T06:32:06.769191+00:00,7771.954805061,768.640370,1658137790.724932,1658137791.1243217,1658137792.7008698,-0.39938974380493164,1.5765480995178223,4975,5045
2026-07-31T06:32:07.224147+00:00,7772.411107244,769.096672,1658137791.1249173,1658137791.5249062,1658137793.1508992,-0.39998888969421387,1.625993013381958,4978,5048
2026-07-31T06:32:07.675987+00:00,7772.862945332,769.548510,1658137791.6247506,1658137791.9243107,1658137793.6009872,-0.2995600700378418,1.6766765117645264,4981,5051
2026-07-31T06:32:08.280796+00:00,7773.467755608,770.153321,1658137792.3248074,1658137792.6248434,1658137794.2009451,-0.3000359535217285,1.5761017799377441,4985,5055
2026-07-31T06:32:08.740169+00:00,7773.927129361,770.612694,1658137792.7248213,1658137793.024828,1658137794.675963,-0.300006628036499,1.651134967803955,4988,5058
2026-07-31T06:32:09.201461+00:00,7774.388420495,771.073985,1658137793.324824,1658137793.5247538,1658137795.125986,-0.19992971420288086,1.6012322902679443,4991,5061
2026-07-31T06:32:09.804861+00:00,7774.991820909,771.677386,1658137793.9247596,1658137794.1244442,1658137795.72601,-0.19968461990356445,1.6015658378601074,4995,5065
2026-07-31T06:32:10.257409+00:00,7775.444369221,772.129934,1658137794.3248394,1658137794.6247225,1658137796.1761127,-0.2998831272125244,1.5513901710510254,4998,5068
2026-07-31T06:32:10.708339+00:00,7775.895299348,772.580864,1658137794.8249002,1658137795.0248334,1658137796.6260655,-0.19993329048156738,1.6012320518493652,5001,5071
2026-07-31T06:32:11.305483+00:00,7776.492443769,773.178009,1658137795.4249313,1658137795.6248677,1658137797.2260857,-0.1999363899230957,1.6012179851531982,5005,5075
2026-07-31T06:32:11.762833+00:00,7776.949793725,773.635359,1658137795.8248968,1658137796.1249096,1658137797.701104,-0.30001282691955566,1.5761942863464355,5008,5078
