stamp_ns,position_difference_m,rotation_difference_deg
1658137058124891904,2.2562524196458957,5.204296782332822
1658137058224744192,2.2769682303742522,5.128042474381099
1658137058324352512,2.2823197771647115,5.08262485229499
1658137058423059456,2.2926372749599393,5.027471363445381
1658137058521729792,2.295255102250158,5.053880853773973
1658137058624817920,2.2870395807863253,5.051945538035413
1658137058722903296,2.290357889744553,5.099350005387796
1658137058824746496,2.280051058212376,5.1324521220842945
1658137058924829696,2.2836546733951777,5.068692376311423
1658137059024825088,2.291494127694104,5.002570814597341
1658137059124899328,2.2739519772768606,4.982731682945395
1658137059223676672,2.279564623116729,5.06643571397489
1658137059324751360,2.285929507197566,5.169490862149809
1658137059424917504,2.297501093260044,5.00232550297389
1658137059524315648,2.3105112307014655,5.1275754923952155
1658137059624413440,2.312358455051299,5.059393334620873
1658137059722560512,2.3101907579510237,5.080049163207691
1658137059824544256,2.309533855964018,5.037761058172418
1658137059924871168,2.2993686116337635,5.047192703094874
1658137060022647808,2.295793014790014,5.0836698126798465
1658137060121690624,2.298405798986958,5.113637799356474
1658137060224678400,2.291177053142961,5.123405846584186
1658137060324864256,2.3005261693421084,5.066095548468534
1658137060424713728,2.3040298004737645,5.074435936871838
1658137060523303168,2.30870350165856,5.020961221895351
1658137060624512768,2.3157934388029755,5.068697743754499
1658137060724667392,2.3120138018193126,5.078994538235692
1658137060824803840,2.308267000572361,5.006549265971657
1658137060924908288,2.300076849145143,5.130770586788951
1658137061024754688,2.2947780496616224,5.064701398869955
1658137061124722176,2.2997780379103765,5.026827125191457
1658137061224813056,2.3069015246820337,5.09866780475095
1658137061322609664,2.3077137551603504,5.133360485122627
1658137061424735232,2.314119548852298,5.114876840134122
1658137061524777472,2.3122797767986163,5.0755399700805235
1658137061624901632,2.315793711125784,5.098467717030129
1658137061724065792,2.317575092390552,5.0531642824139515
1658137061824846080,2.3138578706141697,5.049430729567078
1658137061923821824,2.311648570054512,5.086786820026668
1658137062024781824,2.3097871928589853,5.059081875246243
1658137062123869696,2.3144341242978035,5.009262161415381
1658137062224744448,2.321308448742807,5.079788822352794
1658137062322414336,2.313931220782905,5.064949150746852
1658137062424602112,2.2991225471702874,5.163185177555795
1658137062524906752,2.306949504511403,5.10155640275296
1658137062623037696,2.2972889329721013,5.113170541348653
1658137062724158464,2.29651568875525,5.1226714108596925
1658137062824860672,2.290963039210694,5.117560503417275
1658137062924738048,2.2872512756087535,5.093714765891361
1658137063023865856,2.2844265578893688,5.148576731930763
1658137063124800768,2.2886651140421486,5.088906526228267
1658137063224887808,2.2943571934423015,5.133114074966146
1658137063324565760,2.2950783426770074,5.1174488893351455
1658137063424889344,2.29849258267626,5.109260716689399
1658137063523491072,2.299824418377855,5.202693217928811
1658137063624814080,2.3045595228176086,5.061427329386784
1658137063724824576,2.3058692615869423,5.12891258607058
1658137063824757248,2.300738838721519,5.099101153129506
1658137063924858112,2.301471705312278,5.105898354991627
1658137064020839168,2.300034293247041,5.1161965202259125
1658137064124910080,2.295556955883933,5.104973623365863
1658137064224742400,2.292129429348655,5.161790525795287
1658137064324875520,2.28485862153265,5.155956703335908
1658137064424675584,2.290216452949597,5.084859248913165
1658137064524802048,2.299263870123563,5.154258641707207
1658137064624882944,2.297537053452786,5.077858502252109
1658137064724463872,2.3008968540194497,5.116003794033493
1658137064824807168,2.294490584152104,5.092792188694197
1658137064924876288,2.2936611689874056,5.136305901143789
1658137065024741120,2.298792033283405,5.145717947778658
1658137065124836864,2.2929944736426013,5.117843820391306
1658137065224909056,2.285058616984045,5.115812188219575
1658137065324744960,2.2931628654937173,5.134105532863328
1658137065424692224,2.292288635797432,5.101633005508442
1658137065524328192,2.2972822714330863,5.109001987624835
1658137065624704768,2.2940098324588987,5.071170944638079
1658137065724802560,2.291712785463392,5.1108622050361
1658137065823474432,2.2937521235058638,5.173484705668914
1658137065924722688,2.2984434721227087,5.101739208485037
1658137066024130816,2.2971434638695998,5.057329196345322
1658137066124918784,2.3005146786700883,5.073704063529785
1658137066224697088,2.3006809113063467,5.16562158451157
1658137066324185088,2.3046455716669683,5.04180095743909
1658137066423072256,2.307967763079306,5.073226574358758
1658137066521879296,2.303743796106313,5.08495329996437
1658137066624804608,2.3013673369222545,5.123054548280302
1658137066724909312,2.3074911661407764,5.111645997092597
1658137066824005120,2.3035205378643417,5.080520375959507
1658137066924852736,2.3095563698050006,5.044101624887725
1658137067024809216,2.3122245465753206,5.115381886773742
1658137067124900608,2.3077196983976074,5.119840483125709
1658137067224124928,2.3116591580688173,5.113198876701876
1658137067324069120,2.2993216776661596,5.158164619595872
1658137067424706304,2.2998504654910117,5.064914230876342
1658137067524614144,2.29964752604753,5.154848593998118
1658137067624208384,2.3001526393849057,5.112381253918517
1658137067723005440,2.2934282771959844,5.1126404937887475
1658137067824850944,2.2930602539625027,5.05768250189589
1658137067924172032,2.2887675640248384,5.082792684093939
1658137068024761600,2.289584155008744,5.11941372685733
1658137068124760064,2.2978348959297423,5.0535652976616605
1658137068224858368,2.301506704990762,5.081032364552703
1658137068324053248,2.299321476098742,5.079730949932482
1658137068424672000,2.2967429873005325,5.096642970790814
1658137068524616960,2.294884192334169,5.092069609721477
1658137068623313920,2.291669951890467,5.075014778663192
1658137068724764416,2.291804721843803,5.067404704464518
1658137068824855296,2.296075825681038,5.125612094901032
1658137068923645184,2.3110000078642,5.100626545725405
1658137069022250496,2.303042325608964,5.033006170931441
1658137069124734208,2.295261174987817,5.065684608033307
1658137069224832000,2.2940013014380893,5.111519314916448
1658137069323527168,2.295146481885814,5.159150043394187
1658137069424922368,2.294788566143258,5.073322790526876
1658137069522895104,2.2836692597314965,5.097496516563421
1658137069623948800,2.2961147335564105,5.110942205676279
1658137069724850688,2.2978774562089965,5.132674787733066
1658137069824629760,2.3047833831404194,5.091256869713337
1658137069923258368,2.3054293626229336,5.113268513074131
1658137070024865024,2.2950061635269043,5.084217043964902
1658137070124677376,2.303450092265709,5.093720992894371
1658137070223396352,2.2972842825739277,5.04865807435722
1658137070322857728,2.299561045691099,5.037577159034342
1658137070424904704,2.3035653758771795,5.078012556557706
1658137070524502784,2.3000737296337626,5.053379192398211
1658137070623348224,2.290572644439295,5.020596644926315
1658137070724923392,2.288385771470808,5.089538701325879
1658137070824739584,2.293893841400385,5.088126508491995
1658137070924851456,2.290182284335684,5.086460874161005
1658137071024493824,2.2971940260175225,5.098802844168854
1658137071124193792,2.304901081950176,5.078880499559943
1658137071224728320,2.3043298453735046,5.066649255556891
1658137071324826624,2.305837322178372,5.097576648318176
1658137071424206080,2.302983734249157,5.090889866944081
1658137071523126272,2.297303207198168,5.118832467318376
