timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137057.224855661,187,2848,2429,229,2200,9583,0.310422
1658137057.324819803,188,2472,2115,195,1920,9778,0.285660
1658137057.424906731,189,3048,2594,242,2352,10020,0.330939
1658137057.524746656,190,3765,3152,265,2887,10285,0.635566
1658137057.624840736,191,3289,2819,182,2637,10467,0.333401
1658137057.724925280,192,3000,2557,258,2299,10725,0.321497
1658137057.824762821,193,2884,2472,225,2247,10950,0.310175
1658137057.924852371,194,3661,3110,211,2899,11161,0.474467
1658137058.024819851,195,3471,2932,255,2677,11416,0.368460
1658137058.124909401,196,3927,3297,323,2974,11739,0.381864
1658137058.224747658,197,3133,2669,384,2285,12123,0.431271
1658137058.324818611,198,3091,2680,489,2191,12612,0.528687
1658137058.424897909,199,4108,3547,499,3048,13111,0.433405
1658137058.524742842,200,3748,3207,455,2752,13566,0.551606
1658137058.624822378,201,3554,3034,314,2720,13880,0.392925
1658137058.724912405,202,3907,3329,310,3019,14190,0.487406
1658137058.824750423,203,4233,3599,211,3388,14401,0.900051
1658137058.924854755,204,3894,3346,192,3154,14593,0.478138
1658137059.024829149,205,3324,2861,180,2681,14773,0.410141
1658137059.124907494,206,3851,3261,175,3086,14948,0.458637
1658137059.224739790,207,2856,2469,110,2359,15058,0.325812
1658137059.324834585,208,2935,2524,121,2403,15179,0.330344
1658137059.424921751,209,3532,3022,105,2917,15284,0.421198
1658137059.524773836,210,3037,2644,88,2556,15372,0.336134
1658137059.624879360,211,3487,2985,89,2896,15461,0.434195
1658137059.724719048,212,3864,3340,164,3176,15625,0.426203
1658137059.824823141,213,4032,3474,118,3356,15743,0.442437
1658137059.924920797,214,2961,2524,48,2476,15791,0.336593
1658137060.024753809,215,4291,3695,139,3556,15930,0.467623
1658137060.124844074,216,3797,3250,140,3110,16070,0.423958
1658137060.224811554,217,3404,2928,54,2874,16124,0.370642
1658137060.324868441,218,3957,3391,53,3338,16177,0.435713
1658137060.424717665,219,3495,3024,56,2968,16233,0.380257
1658137060.524796963,220,4203,3621,65,3556,16298,0.481808
1658137060.624887228,221,3881,3308,59,3249,16357,0.451878
1658137060.724725485,222,3900,3375,55,3320,16412,0.465373
1658137060.824807882,223,4217,3599,62,3537,16474,0.458076
1658137060.924912453,224,3241,2824,53,2771,16527,0.380829
1658137061.024758816,225,3220,2790,55,2735,16582,0.364586
1658137061.124855757,226,3957,3411,83,3328,16665,0.434945
1658137061.224816799,227,4414,3812,73,3739,16738,0.519220
1658137061.324893713,228,4835,4193,43,4150,16781,0.525462
1658137061.424739838,229,4462,3846,55,3791,16836,0.477584
1658137061.524831533,230,3673,3142,32,3110,16868,0.432058
1658137061.624917984,231,3545,3072,52,3020,16920,0.454163
1658137061.724760056,232,3242,2784,33,2751,16953,0.402921
1658137061.824866772,233,3586,3113,44,3069,16997,0.497457
1658137061.924732924,234,3085,2647,31,2616,17028,0.345814
1658137062.024819374,235,2478,2160,40,2120,17068,0.291513
1658137062.124917746,236,3661,3158,31,3127,17099,0.493500
1658137062.224748850,237,4282,3643,55,3588,17154,0.601054
1658137062.324859619,238,4400,3775,41,3734,17195,0.471002
1658137062.424827337,239,4139,3566,29,3537,17224,0.456666
1658137062.524910927,240,3021,2605,36,2569,17260,0.383234
1658137062.624742031,241,4393,3740,28,3712,17288,0.475722
1658137062.724824429,242,3197,2702,41,2661,17329,0.373838
1658137062.824910402,243,3781,3200,18,3182,17347,0.445360
1658137062.924767256,244,3278,2845,22,2823,17369,0.407229
1658137063.024855852,245,2307,2002,14,1988,17383,0.299234
1658137063.124813318,246,2973,2583,40,2543,17423,0.350671
1658137063.224892139,247,4303,3675,22,3653,17445,0.461423
1658137063.324811459,248,3362,2886,14,2872,17459,0.421967
1658137063.424893618,249,3794,3284,15,3269,17474,0.945887
1658137063.524723530,250,3887,3334,14,3320,17488,0.471515
1658137063.624817848,251,4852,4117,18,4099,17506,0.569867
1658137063.724911928,252,4690,4012,19,3993,17525,0.594201
1658137063.824761868,253,3890,3354,22,3332,17547,0.454869
1658137063.924862146,254,3693,3172,13,3159,17560,0.524125
1658137064.024714470,255,3855,3317,35,3282,17595,0.492795
1658137064.124918461,256,4259,3603,12,3591,17607,0.601908
1658137064.224746466,257,3711,3200,13,3187,17620,0.505010
1658137064.324879885,258,3691,3170,19,3151,17639,0.439399
1658137064.424725771,259,3059,2658,13,2645,17652,0.369402
1658137064.524806261,260,3479,3009,11,2998,17663,0.607661
1658137064.624886990,261,4011,3429,13,3416,17676,0.513767
1658137064.724721432,262,4104,3541,14,3527,17690,0.512221
1658137064.824811220,263,3656,3151,9,3142,17699,0.470486
1658137064.924901485,264,3268,2813,15,2798,17714,0.421182
1658137065.024745226,265,3736,3198,11,3187,17725,0.424890
1658137065.124840736,266,3369,2898,12,2886,17737,0.401214
1658137065.224938393,267,3646,3145,10,3135,17747,0.473257
1658137065.324915648,268,3767,3244,9,3235,17756,0.471230
1658137065.424759150,269,3543,3071,23,3048,17779,0.634042
1658137065.524856091,270,3969,3391,10,3381,17789,0.447225
1658137065.624709129,271,3826,3282,8,3274,17797,0.477909
1658137065.724806309,272,4032,3472,9,3463,17806,0.475013
1658137065.824901342,273,4973,4240,10,4230,17816,0.568331
1658137065.924726725,274,4627,3994,16,3978,17832,0.516859
1658137066.024820566,275,3089,2661,10,2651,17842,0.383536
1658137066.124922991,276,3477,3053,11,3042,17853,0.458690
1658137066.224759579,277,3621,3166,16,3150,17869,0.475520
1658137066.324908733,278,3538,3061,9,3052,17878,0.437914
