timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T13:29:38.2272562Z","visualization_01","dc3ae6023b26","164.08%","3.221GiB","7.612GiB","42.31%","7.29MB / 5.55MB","193GB / 35GB","109"
"2026-07-31T13:29:40.2570348Z","visualization_01","dc3ae6023b26","166.22%","3.221GiB","7.612GiB","42.32%","7.29MB / 5.55MB","193GB / 35GB","109"
"2026-07-31T13:29:43.2631297Z","visualization_01","dc3ae6023b26","165.59%","3.222GiB","7.612GiB","42.33%","7.29MB / 5.55MB","193GB / 35GB","109"
"2026-07-31T13:29:45.2937204Z","visualization_01","dc3ae6023b26","166.84%","3.231GiB","7.612GiB","42.44%","7.29MB / 5.55MB","193GB / 35GB","109"
"2026-07-31T13:29:47.3222938Z","visualization_01","dc3ae6023b26","168.93%","3.231GiB","7.612GiB","42.44%","7.29MB / 5.55MB","193GB / 35GB","109"
"2026-07-31T13:29:49.3536405Z","visualization_01","dc3ae6023b26","169.95%","3.227GiB","7.612GiB","42.39%","7.29MB / 5.55MB","193GB / 35GB","109"
"2026-07-31T13:29:51.3820719Z","visualization_01","dc3ae6023b26","170.11%","3.232GiB","7.612GiB","42.46%","7.29MB / 5.55MB","193GB / 35GB","109"
"2026-07-31T13:29:54.3875203Z","visualization_01","dc3ae6023b26","168.00%","3.258GiB","7.612GiB","42.80%","7.29MB / 5.55MB","193GB / 35GB","109"
"2026-07-31T13:29:56.4177709Z","visualization_01","dc3ae6023b26","166.36%","3.256GiB","7.612GiB","42.78%","7.3MB / 5.56MB","193GB / 35GB","109"
"2026-07-31T13:29:58.4476449Z","visualization_01","dc3ae6023b26","167.26%","3.254GiB","7.612GiB","42.75%","7.3MB / 5.56MB","193GB / 35GB","109"
"2026-07-31T13:30:00.4772158Z","visualization_01","dc3ae6023b26","135.20%","3.128GiB","7.612GiB","41.09%","7.3MB / 5.56MB","193GB / 35GB","96"
"2026-07-31T13:30:03.4829087Z","visualization_01","dc3ae6023b26","103.59%","3.136GiB","7.612GiB","41.20%","7.3MB / 5.56MB","193GB / 35GB","96"
"2026-07-31T13:30:05.5138096Z","visualization_01","dc3ae6023b26","5.01%","3.127GiB","7.612GiB","41.08%","7.3MB / 5.56MB","193GB / 35GB","96"
"2026-07-31T13:30:07.5458813Z","visualization_01","dc3ae6023b26","13.81%","2.769GiB","7.612GiB","36.37%","7.3MB / 5.56MB","193GB / 35GB","33"
"2026-07-31T13:30:09.5779998Z","visualization_01","dc3ae6023b26","169.73%","2.767GiB","7.612GiB","36.35%","7.3MB / 5.56MB","193GB / 35GB","31"
