timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T11:52:08.2643898Z","warmup_01","dc3ae6023b26","165.68%","570.3MiB","7.612GiB","7.32%","4.12MB / 2.38MB","70.6GB / 34.7GB","109"
"2026-07-31T11:52:10.2943950Z","warmup_01","dc3ae6023b26","168.43%","576.3MiB","7.612GiB","7.39%","4.12MB / 2.38MB","70.7GB / 34.7GB","109"
"2026-07-31T11:52:13.2994274Z","warmup_01","dc3ae6023b26","164.12%","581.5MiB","7.612GiB","7.46%","4.12MB / 2.38MB","70.7GB / 34.7GB","109"
"2026-07-31T11:52:15.3305087Z","warmup_01","dc3ae6023b26","165.34%","575.9MiB","7.612GiB","7.39%","4.12MB / 2.38MB","70.8GB / 34.7GB","109"
"2026-07-31T11:52:17.3600611Z","warmup_01","dc3ae6023b26","169.85%","576.9MiB","7.612GiB","7.40%","4.12MB / 2.38MB","70.8GB / 34.7GB","109"
"2026-07-31T11:52:19.3900796Z","warmup_01","dc3ae6023b26","172.45%","580.9MiB","7.612GiB","7.45%","4.12MB / 2.38MB","70.9GB / 34.7GB","109"
"2026-07-31T11:52:21.4224209Z","warmup_01","dc3ae6023b26","167.16%","584.8MiB","7.612GiB","7.50%","4.13MB / 2.39MB","70.9GB / 34.7GB","109"
"2026-07-31T11:52:24.4269384Z","warmup_01","dc3ae6023b26","169.83%","598.1MiB","7.612GiB","7.67%","4.13MB / 2.39MB","71GB / 34.7GB","109"
"2026-07-31T11:52:26.4591729Z","warmup_01","dc3ae6023b26","163.76%","608.8MiB","7.612GiB","7.81%","4.13MB / 2.39MB","71GB / 34.7GB","109"
"2026-07-31T11:52:28.4903311Z","warmup_01","dc3ae6023b26","166.50%","607.4MiB","7.612GiB","7.79%","4.13MB / 2.39MB","71.1GB / 34.7GB","109"
"2026-07-31T11:52:30.5217101Z","warmup_01","dc3ae6023b26","156.19%","483.9MiB","7.612GiB","6.21%","4.13MB / 2.39MB","71.2GB / 34.7GB","96"
"2026-07-31T11:52:33.5268666Z","warmup_01","dc3ae6023b26","103.71%","484.6MiB","7.612GiB","6.22%","4.13MB / 2.39MB","71.2GB / 34.7GB","96"
"2026-07-31T11:52:35.5596585Z","warmup_01","dc3ae6023b26","4.55%","483.6MiB","7.612GiB","6.20%","4.13MB / 2.39MB","71.2GB / 34.7GB","96"
"2026-07-31T11:52:37.5906906Z","warmup_01","dc3ae6023b26","4.59%","483.5MiB","7.612GiB","6.20%","4.13MB / 2.39MB","71.2GB / 34.7GB","96"
"2026-07-31T11:52:39.6217730Z","warmup_01","dc3ae6023b26","0.02%","156.6MiB","7.612GiB","2.01%","4.14MB / 2.4MB","71.2GB / 34.7GB","33"
